355		B		14120		1186
356		P		14280		2866
357		B		14200		879
358		B		14240		899
359		I		14400		5994
360		B		14320		1086
361		B		14360		1056
362		P		14520		2517
363		B		14440		699
364		B		14480		828
365		P		14640		2690
366		B		14560		1089
367		B		14600		1178
368		P		14760		2955
369		B		14680		1350
370		B		14720		1295
371		I		14880		6375
372		B		14800		1157
373		B		14840		1216
374		P		15000		2767
375		B		14920		1461
376		B		14960		1596
377		P		15120		2835
378		B		15040		1171
379		B		15080		1271
380		P		15240		2865
381		B		15160		1569
382		B		15200		1614
383		I		15360		6354
384		B		15280		1108
385		B		15320		818
386		P		15480		2609
387		B		15400		1338
388		B		15440		1495
389		P		15600		2841
390		B		15520		1105
391		B		15560		1108
392		P		15720		2531
393		B		15640		1273
394		B		15680		1408
395		I		15840		6675
396		B		15760		1343
397		B		15800		1269
398		P		15960		3143
399		B		15880		1492
400		B		15920		1802
401		P		16080		3350
402		B		16000		1920
403		B		16040		2020
404		P		16200		3311
405		B		16120		1465
406		B		16160		1458
407		I		16320		6888
408		B		16240		1852
409		B		16280		1829
410		P		16440		3235
411		B		16360		1102
412		B		16400		1104
413		P		16560		3360
414		B		16480		1693
415		B		16520		1828
416		P		16680		3710
417		B		16600		1961
418		B		16640		1704
419		I		16800		6622
420		B		16720		1551
421		B		16760		1687
422		P		16920		3345
423		B		16840		1919
424		B		16880		1949
425		P		17040		3207
426		B		16960		1768
427		B		17000		1685
428		P		17160		3217
429		B		17080		2091
430		B		17120		1918
431		I		17280		4681
432		B		17200		1544
433		B		17240		1471
434		P		17400		2451
435		B		17320		1704
436		B		17360		1725
437		P		17520		2916
438		B		17440		1491
439		B		17480		1524
440		P		17640		2600
441		B		17560		1285
442		B		17600		1354
443		I		17760		3433
444		B		17680		953
445		B		17720		841
446		P		17880		1206
447		B		17800		970
448		B		17840		843
449		P		18000		1228
450		B		17920		614
451		B		17960		525
452		P		18120		1255
453		B		18040		644
454		B		18080		686
455		I		18240		2549
456		B		18160		788
457		B		18200		881
458		P		18360		1286
459		B		18280		664
460		B		18320		629
461		P		18480		1631
462		B		18400		679
463		B		18440		603
464		P		18600		2110
465		B		18520		761
466		B		18560		784
467		I		18720		4174
468		B		18640		1090
469		B		18680		1175
470		P		18840		2391
471		B		18760		764
472		B		18800		1201
473		P		18960		2359
474		B		18880		1283
475		B		18920		1507
476		P		19080		2807
477		B		19000		1612
478		B		19040		1290
479		I		19200		4751
480		B		19120		1278
481		B		19160		1255
482		P		19320		2107
483		B		19240		1197
484		B		19280		1159
485		P		19440		1833
486		B		19360		1212
487		B		19400		1320
488		P		19560		1632
489		B		19480		1023
490		B		19520		890
491		I		19680		3319
492		B		19600		752
493		B		19640		609
494		P		19800		1494
495		B		19720		1056
496		B		19760		978
497		P		19920		1960
498		B		19840		848
499		B		19880		941
500		P		20040		1815
501		B		19960		914
502		B		20000		1051
503		I		20160		4194
504		B		20080		1095
505		B		20120		1021
506		P		20280		1629
507		B		20200		1008
508		B		20240		1066
509		P		20400		1589
510		B		20320		803
511		B		20360		798
512		P		20520		1654
513		B		20440		811
514		B		20480		796
515		I		20640		3710
516		B		20560		875
517		B		20600		802
518		P		20760		1173
519		B		20680		628
520		B		20720		488
521		P		20880		1810
522		B		20800		627
523		B		20840		684
524		P		21000		2920
525		B		20920		840
526		B		20960		315
527		I		21120		3527
528		B		21040		554
529		B		21080		561
530		P		21240		1395
531		B		21160		203
532		B		21200		776
533		P		21360		1836
